country,city,address_1,reason_for_recall,address_2,product_quantity,code_info,center_classification_date,distribution_pattern,state,product_description,report_date,classification,recalling_firm,recall_number,initial_firm_notification,product_type,event_id,termination_date,recall_initiation_date,postal_code,voluntary_mandated,status,more_code_info
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,139572 units,16250 09/19  16268 10/19  16301 11/19  17088 3/20  17109 4/20  17318 10/20  17323 10/20  18014 1/21  18045 2/21  18059 3/21  18063 3/21  18117 5/21  18134 5/21,20191115,U.S.A. Nationwide,NY,"Ocusoft Tears Again Lubricant Eye Drops, 15 mL, Manufactured for: Ocusoft, Inc., Richmond, TX 77406-0429, NDC 54799-904-15",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0398-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,"464,424 units",18229 9/21   18031 1/21   17131 5/20   17059 3/20    17008 1/20   19056 03/22,20191115,U.S.A. Nationwide,NY,"CVS Health Redness Relief Lubricant Redness Reliever Eye Drops, Sterile, 0.5 fl. oz. (15 mL), Item #317912, Distributed by: CVS Pharmacy Inc., One CVS Drive, Woonsocket, RI 02895",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0411-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Amityville,369 Bayview Ave,Subpotent; 24 month stability test station,,lot 608917: 7764 bottles; lot 608204: 7476 bottles,"Batch 608917 (exp. 02/2014), and Batch 608204 (exp. 01/2014)",20130614,Nationwide and Puerto Rico,NY,"HydrOXYzine Hydrochloride Oral Solution, USP, 10 mg/5 mL, 16 fl. oz. (473 mL), Rx Only, HI-TECH PHARMACAL CO., INC. AMITYVILLE, NY, NDC 50383-796-16",20130626,Class III,"Hi-Tech Pharmacal Co., Inc.",D-603-2013,Letter,Drugs,65047,20160513,20130430,11701-2801,Voluntary: Firm initiated,Terminated,
United States,Brookhaven,50 Horseblock Rd,CGMP Deviations: FDA analysis detected N-Nitrosodimethylamine (NDMA) impurity above the acceptable intake level,,,HA01520A 1/31/2021  HA01620A 1/31/2021  HG01719A 7/31/2020  HG01819A 7/31/2020  HH09319A 8/31/2020  HH09419A 9/30/2020  HK07619A 10/31/2020  HK07719A 10/31/2020,20200625,Nationwide,NY,"amneal Metformin Hydrochloride Extended-Release Tablets, USP, Bulk, Rx Only, Distributed by: Amneal Pharmaceuticals LLC Bridgewater, NJ 08807   NDC  53746-0179-BULK",20200701,Class II,"Amneal Pharmaceuticals of New York, LLC",D-1354-2020,Press Release,Drugs,85781,,20200529,11719-9509,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,"2,392 units",18052 2/20,20191115,U.S.A. Nationwide,NY,"iSolutions Nano Tears MO Clear Emollient Lubricant Drops Intensive Sterile, 10 mL, Manufactured by Altaire Pharmaceuticals, Inc. Aquebogue, NY 11931, NDC 59390- 145-10",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0428-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,23974 units,17041 2/20   17186 6/20   18068 3/21,20191115,U.S.A. Nationwide,NY,"Altaire Homatropaire Homatropine Hyrdobromide Opthalmic Solution, USP, 5 %, 5 mL, Sterile, Rx only,  Mfd. by: Altaire Pharmaceuticals, Inc. Aquebogue, NY 11931, NDC 59390-192-05",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0455-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,"414,346 units",17200 7/19   17322 10/20   18026 1/21   18100 4/21   18236 9/21   19052 2/22,20191115,U.S.A. Nationwide,NY,"Altaire Sterile Eye Wash, 30 mL (1 fl oz.), Altaire Pharmaceuticals, Inc. Aquebogue, NY 11931, NDC 59390-175-18",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0424-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Farmingdale,65 E Carmans Rd,"Marketed without an Approved NDA/ANDA; product found to contain methasterone and dimethazine which are steroid and/or steroid-like drug ingredients, making it an unapproved new drug",,unknown,Lot numbers: C02R and F03Q,20140305,Nationwide,NY,"B-50 capsules, Healthy Life Chemistry By Purity First, packaged in 100 count bottles, Manufactured for: Purity First Health Products, Inc. dba Healthy Life Chemistry 51 Florida Street, Farmingdale, NY 11735",20140312,Class I,Mira Health Products Ltd.,D-1149-2014,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,65772,20140915,20130722,11735-3834,Voluntary: Firm initiated,Terminated,
United States,Brookhaven,50 Horseblock Rd,CGMP Deviations: FDA analysis detected N-Nitrosodimethylamine (NDMA) impurity above the acceptable intake level,,,HA01320A 1/31/2021  HA01420A 1/31/2021  HA06820A 1/31/2021  HB03620A 1/31/2021  HB03720A 1/31/2021  HB03820A 1/31/2021  HB03920A 1/31/2021  HB04020A 1/31/2021  HB04120A 1/31/2021  HB04220A 1/31/2021  HB04320A 2/28/2021  HB04420A 1/31/2021  HB04520A 2/28/2021  HB05020A 2/28/2021  HB05120A 2/28/2021  HB05220A 2/28/2021  HB05320A 2/28/2021  HB05420A 2/28/2021  HB05520A 2/28/2021  HB05620A 2/28/2021  HB07020A 2/28/2021  HB07120A 2/28/2021  HB07220A 2/28/2021  HB07320A 2/28/2021  HB07520A 2/28/2021  HB07620A 2/28/2021  HB07720A 2/28/2021  HB07820A 2/28/2021  HB07920A 2/28/2021  HB08020A 2/28/2021  HB08220A 2/28/2021  HF05519A 6/30/2020  HF05619A 6/30/2020  HF05719A 6/30/2020  HF05819A 6/30/2020  HF05919A 6/30/2020  HF06019A 6/30/2020  HF06119A 6/30/2020  HF06219A 6/30/2020  HF06319A 6/30/2020  HF07719A 6/30/2020  HF07819A 6/30/2020  HF07919A 6/30/2020  HF08019A 6/30/2020  HF08119A 6/30/2020  HF08219A 6/30/2020  HF08319A 6/30/2020  HF08419A 6/30/2020  HF08519A 6/30/2020  HF08619A 6/30/2020  HF10119A 6/30/2020  HF10219A 6/30/2020  HF10319A 6/30/2020  HF10419A 6/30/2020  HF10519A 6/30/2020  HF10619A 6/30/2020  HF10719A 6/30/2020  HF10819A 6/30/2020  HF10919A 6/30/2020  HF11019A 6/30/2020  HF11119A 6/30/2020  HG07219A 7/31/2020  HG07319A 7/31/2020  HG07419A 7/31/2020  HG07519A 7/31/2020  HG07619A 7/31/2020  HG07719A 7/31/2020  HG07819A 7/31/2020  HG07919A 7/31/2020  HG08019A 7/31/2020  HG08119A 7/31/2020  HH00619A 7/31/2020  HH00719A 7/31/2020  HH00819A 7/31/2020  HH00919A 7/31/2020  HH01019A 7/31/2020  HH01119A 8/31/2020  HH01219A 8/31/2020  HH01319A 8/31/2020  HH01419A 8/31/2020  HH01519A 8/31/2020  HH07319A 8/31/2020  HH07419A 8/31/2020  HH07519A 8/31/2020  HH07619A 8/31/2020  HH07719A 8/31/2020  HH07819A 8/31/2020  HH07919A 8/31/2020  HH08019A 8/31/2020  HH08119A 8/31/2020  HH08219A 8/31/2020  HH11119A 10/31/2020  HH11219A 10/31/2020  HH11319A 10/31/2020  HH11419A 10/31/2020  HH11519A 10/31/2020  HH11619A 10/31/2020  HH11719A 10/31/2020  HH11819A 10/31/2020  HH11919A 10/31/2020  HH12019A 10/31/2020  HH12119A 10/31/2020  HH12219A 10/31/2020  HH12319A 10/31/2020  HH12419A 10/31/2020  HH12519A 10/31/2020  HH12619A 10/31/2020  HH12719A 10/31/2020  HH12819A 10/31/2020  HH12919A 10/31/2020  HH13019A 10/31/2020  HL00119A 10/31/2020  HL00219A 11/30/2020  HL00319A 11/30/2020  HL00419A 11/30/2020  HL00519A 11/30/2020  HL00619A 11/30/2020  HL00719A 11/30/2020  HL00819A 11/30/2020  HL00919A 11/30/2020  HL01019A 11/30/2020,20200625,Nationwide,NY,"amneal Metformin Hydrochloride Extended-Release Tablets, USP, Bulk, Distributed by: Amneal Pharmaceuticals LLC Bridgewater, NJ 08807   NDC 53746-0178-BULK",20200701,Class II,"Amneal Pharmaceuticals of New York, LLC",D-1350-2020,Press Release,Drugs,85781,,20200529,11719-9509,Voluntary: Firm initiated,Ongoing,
United States,Hauppauge,89 Arkay Dr,"CGMP Deviations: FDA laboratory testing confirmed presence of an impurity, N-nitrosodimethylamine (NDEA) in product.",,"2,977 HDPE bottles","69367-119-01 Irbesartan 75mg Tablets, 30 count bottle B160002A Sep-19     69367-119-03 Irbesartan 75mg Tablets, 90 count bottle B160002B Sep-19",20181120,Nationwide,NY,"Westminister Irbesartan Tablets, USP, 75 mg (a) 30-count bottle (NDC 69367-119-01), (b) 90-count bottle (NDC 69367-119-03), Rx Only, Manufactured by ScieGen Pharmaceuticals Inc Hauppauge, NY 11755   Manufactured for Westminister Pharmaceuticals LLC Olive Branch, MS 20854 Made in the USA",20181128,Class II,Sciegen Pharmaceuticals Inc,D-0267-2019,Press Release,Drugs,81458,,20181029,11788-3727,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,"102,939 units",17244 8/19   18057 3/20   518307 12/20,20191115,U.S.A. Nationwide,NY,"Ofloxacin Ophthalmic Solution, USP, 0.3%, 5 mL, Rx only, Altaire Pharmaceuticals, Inc., NDC 59390-140-05",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0436-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,636 units,18164 7/20,20191115,U.S.A. Nationwide,NY,"Altaire Ciprofloxacin Ophthalmic Solution, USP,  0.3%, 10 mL,  Rx only, Altaire Pharmaceuticals, Inc. Aquebogue, NY 11931 NDC 59390-217-10",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0420-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Farmingdale,230 Sherwood Ave,CGMP deviations: Lots were recalled due to sub-potency and cGMP violations.,,"5,000 bottles","Lot #: S16E01, Exp 05/18",20190116,Product was sold to the firm's sole distributor who further distributed the product throughout the United States.,NY,"EEMT HS (esterified estrogens and methyltestosterone) 0.625 mg/1.25 mg, tablets,100-count bottle, Rx only, Manufactured By: Syntho Pharmaceuticals, Inc., Farmingdale, NY 11735, Distributed By: Creekwood Pharmaceutical, Inc., Birmingham, AL 35242, NDC 15310-020-01",20190123,Class II,"Syntho Pharmaceuticals, Inc.",D-0377-2019,Letter,Drugs,81867,20200327,20170417,11735-1718,Voluntary: Firm initiated,Terminated,
United States,Hauppauge,7 Oser Ave,Failed Impurities/Degradation Specifications; failure of Impurity A test at the 12-month long-term stability testing.,,"2,202 bottles","Lot # NB900413, Exp. 12/2020",20200521,Nationwide in the U.S.,NY,"Gabapentin Tablets USP, 600 mg, Rx Only, 500-count bottle, Manufactured for: Exelan Pharmaceuticals, Inc., Lawrenceville, GA 30046, Manufactured by: InvaGen Pharmaceuticals, Inc., Hauppauge, NY 11788, NDC 76282-405-05.",20200527,Class III,"InvaGen Pharmaceuticals, Inc.",D-1272-2020,Letter,Drugs,85646,20200831,20200514,11788-3811,Voluntary: Firm initiated,Terminated,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,4409 units,"Lot #: 17366, Exp 12/19",20191115,U.S.A. Nationwide,NY,"iSolutions Nano Tears TF Clear Emollient Lubricant Gel Drops Tear Film Replenishment Mild Sterile, 0.5 FL OZ (15 mL),  Manufactured by: Altaire Pharmaceuticals, Inc. Aquebogue, NY 11931, NDC  59390-142-13",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0434-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,39072 units,Lot #: RGF 07/19  RHN 08/19  RIH 09/19  RJP 10/19  RKN 11/19  SDC 04/20  SFC 06/20  SFJ 06/20  SGI 07/20  SKF 11/20  TAE 01/21,20191115,U.S.A. Nationwide,NY,"CVS Health Preservative Free Lubricant Eye Drops, 60 Sterile Single-Use Containers, 0.02 FL OZ (0.6 mL) EACH,  Distributed by: CVS Pharmacy, Inc. One CVS Drive, Woonsocket, RI 02895",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0383-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Hauppauge,7 Oser Ave,Failed Dissolution Specifications; during stability testing,,,a)   Lot I1606609 and Lot I1606610 Exp. Date 05/2018;  Lot I1610639 Exp. Date 09/2018    b)   Lot #I1606610 Exp Date 05/2018;  Lot I1607847 and Lot I1607845 Exp Date 06/2018;  Lot I1610639 Exp Date 09/2018,20180404,Nationwide,NY,"buPROPion HCl Extended-Release Tablets,   USP (SR), 150 mg ,a) 60 count (NDC 69097-878-03)  and b) 100 count (NDC 69097-878-07) bottles, Rx Only, Manufactured for: Cipla USA Inc. 1560 Sawgrass Corporate Parkway Suite 130 Sunrise, FL 33323, Manufactured by: InvaGen Pharmaceuticals, Inc. (a subsidiary of Cipla Ltd.) Hauppauge, NY 11788",20180411,Class III,"InvaGen Pharmaceuticals, Inc.",D-0619-2018,Letter,Drugs,79446,20210915,20180315,11788-3811,Voluntary: Firm initiated,Terminated,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,159864 units,19087 3/21   17289 9/19   19087 03/21   18122 5/20,20191115,U.S.A. Nationwide,NY,"CVS Health Extra Strength Lubricant Gel Drops, Sterile 0.5 FL OZ (15 mL), Distributed by: CVS Pharmacy, Inc. One CVS Drive, Woonsocket, RI 02895",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0402-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Farmingdale,65 E Carmans Rd,"Marketed without an Approved NDA/ANDA; product found to contain dimethazine which is a steroid and/or steroid-like drug ingredient, making it an unapproved new drug",,"5,555 bottles",lot number: L54Q,20140305,Nationwide,NY,"METHA-DROL Extreme capsules, packaged as 60 capsules per bottle Pro-Anabolic Mass Stack Dietary Supplement, Manufactured for Blackstone Labs, Boca Raton, FL",20140312,Class I,Mira Health Products Ltd.,D-1151-2014,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,65772,20140915,20130722,11735-3834,Voluntary: Firm initiated,Terminated,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,61830 units,17282 9/19  18121 5/20,20191115,U.S.A. Nationwide,NY,"Natural Ophthalmics Cataract Eye Drops with Cineraria, 15 mL, 25 mL, NDC  68770-130-15",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0466-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,,Lot #: SAS 1/21  SIA 9/21  SFE 6/21  SAS 1/21  SFE 6/21  SIA 9/21  RIE 9/20  REH 5/20  RAD 1/20  TAH 1/22,20191115,U.S.A. Nationwide,NY,"CVS Health Lubricant Eye Ointment, Sterile, Net Wt. 0.125 oz. (3.5 g), Item #247781, Distributed by: CVS Pharmacy Inc., One CVS Drive, Woonsocket, RI 02895",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0385-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Hauppauge,89 Arkay Dr,"CGMP Deviations: FDA laboratory testing confirmed presence of an impurity, N-nitrosodimethylamine (NDEA) in product.",,"18,760 HDPE bottles","60429-641-90 Irbesartan 150mg Tablets, 90 Count Bottle    B161003 Sep-19   B161004 Sep-19   B161006 Sep-19   B161007 Sep-19   B161008 Nov-19   B161009 Nov-19   B161010 Nov-19   C161001 Feb-20   C161003 May-20           60429-641-30 Irbesartan 150mg Tablets, 30 Count Bottle   GS019526 Nov-19   GS020252 Nov-19   GS020958 Nov-19",20181120,Nationwide,NY,"GSMS Irbesartan Tablets, USP, 150 mg, (a) 30-count bottle (NDC 60429-641-30), (b) 90-count bottle (NDC 60429-641-90), Rx Only, Manufactured by ScieGen Pharmaceuticals, Inc. Hauppauge, NY 11788, Marketed by: GSMS Incorporated Camarillo, CA 93012 USA.",20181128,Class II,Sciegen Pharmaceuticals Inc,D-0271-2019,Press Release,Drugs,81458,,20181029,11788-3727,Voluntary: Firm initiated,Ongoing,
United States,Brookhaven,50 Horseblock Rd,CGMP Deviations: FDA analysis detected N-Nitrosodimethylamine (NDMA) impurity above the acceptable intake level,,,HF08618A 6/30/2020  HF08718A 6/30/2020  HF15418A 7/31/2020  HF15518A 7/31/2020  HH11818A 9/30/2020  HJ00818A 9/30/2020  HJ00918A 9/30/2020  HJ01018A 9/30/2020,20200625,Nationwide,NY,"amneal Metformin Hydrochloride Extended-Release Tablets, USP, 500 mg, 1000 tablets bottles, Distributed by: Amneal Pharmaceuticals LLC Bridgewater, NJ 08807   NDC 53746-0178-10",20200701,Class II,"Amneal Pharmaceuticals of New York, LLC",D-1352-2020,Press Release,Drugs,85781,,20200529,11719-9509,Voluntary: Firm initiated,Ongoing,
United States,Melville,60 Baylis Rd,Labeling: Label Mixup; Unit boxes labeled as Desonide Ointment 0.05% may contain tubes of Desonide Ointment labeled as Ketoconazole Cream,,"14,665 tubes",Lot GC9231 (exp. 05/2019); Lot GC9232 (exp. 05/2019),20170323,Nationwide,NY,"Desonide Ointment, 0.05%, NET WT 60 grams tubes, Rx only, E. FOUGERA & CO.  A division of Fougera Pharmaceuticals Inc., Melville, New York 11747, NDC 0168-0309-60",20170329,Class II,Fougera Pharmaceuticals  Inc.,D-0612-2017,Letter,Drugs,76611,20180702,20170302,11747-3838,Voluntary: Firm initiated,Terminated,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,"39,288 units",Lot #: 17215 07/19  17239 08/19  18081 03/21  18207 08/20  18274 11/21,20191115,U.S.A. Nationwide,NY,"CVS Health Dry Eye Relief Lubricant Eye Drops, 0.5 FL OZ (15 mL), Distributed by: CVS Pharmacy, Inc. Woonsocket, RI 0805 Made in the USA  02895",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0380-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,6024 units,"Lot #: 18164, Exp 7/20",20191115,U.S.A. Nationwide,NY,"Altaire Ciprofloxacin HCl Ophthalmic Solution, 0.3%, 5 mL, NDC 59390-217-05",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0478-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,48 units,SFE 06/21,20191115,U.S.A. Nationwide,NY,"ActivEyes Lubricant Eye Ointment Preservative Free, Product Size: 3.5 gram, Manufactured by: Altaire Pharmaceuticals, Inc. Aquebogue, NY 11931,NDC 59390-189-50",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0439-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,"195,864 units",RKM 11/19   SGA 7/20   SIF 9/20   SKE 11/20,20191115,U.S.A. Nationwide,NY,"Puralube Ophthalmic Ointment, 3.5 gram, Mfd. for Perrigo, Minneapolis, MN 55427, NDC 0574-4025-20",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0474-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Hauppauge,89 Arkay Dr,"CGMP Deviations: FDA laboratory testing confirmed presence of an impurity, N-nitrosodimethylamine (NDEA) in product.",,"5,061 HDPE bottles","69367-120-01 Irbesartan 150mg Tablets, 30 count bottle   B161005A Sep-19   C161002A Feb-20   69367-120-03 Irbesartan 150mg Tablets, 90 count bottle  B161005B Sep-19   C161002B Feb-20",20181120,Nationwide,NY,"Westminister Irbesartan Tablets, USP, 150 mg, (a) 30-count bottle (NDC 69367-120-01), (b) 90-count bottle (NDC 69367-120-03), Rx Only, Manufactured by ScieGen Pharmaceuticals Inc. Hauppauge, NY 11755, Manufactured for Westminster Pharmaceuticals LLC Olive Branch, MS 20854, Made in the USA.",20181128,Class II,Sciegen Pharmaceuticals Inc,D-0268-2019,Press Release,Drugs,81458,,20181029,11788-3727,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,"159,864 units",Lot #: 19087 3/21  17289 9/19  19087 03/21  18122 5/20,20191115,U.S.A. Nationwide,NY,"CVS Health Extra Strength Lubricant Gel Drops (Carboxymethyl-Cellulose Sodium 1%, Dry Eye Relief, Sterile, 0.5 fl. oz. (15 mL), Item #799143, Distributed by: CVS Pharmacy Inc., One CVS Drive, Woonsocket, RI 02895",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0386-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Farmingdale,230 Sherwood Ave,CGMP deviations: Lots were recalled due to sub-potency and cGMP violations.,,"5,000 bottles","Lot #: S16E02, Exp 05/18",20190116,Product was sold to the firm's sole distributor who further distributed the product throughout the United States.,NY,"EEMT (esterified estrogens and methyltestosterone) 1.25 mg/2.5 mg, tablets,100-count bottle, Rx only, Manufactured By: Syntho Pharmaceuticals, Inc., Farmingdale, NY 11735, Distributed By: Creekwood Pharmaceutical, Inc., Birmingham, AL 35242, NDC 15310-010-01",20190123,Class II,"Syntho Pharmaceuticals, Inc.",D-0378-2019,Letter,Drugs,81867,20200327,20170417,11735-1718,Voluntary: Firm initiated,Terminated,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,441792 units,"Lot #: SAJ, Exp 01/21; SFE, Exp 06/21; SIA, Exp 09/21; RIE, Exp 09/20; REH, Exp 05/20; RAD, Exp 01/20; TAH, Exp 01/22; TDD, Exp 04/22",20191115,U.S.A. Nationwide,NY,"Equate Sterile Lubricant Stye Ointment, Net wt. 0.125 oz. (3.5g), Distributed by: Wal-Mart Stores Inc., Bentonville, AR 72716, NDC 49035-875-50",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0365-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Farmingdale,7 Michael Ave,CGMP Deviations: Various strengths of ibuprofen tablets/caplets are being recalled due to complaints of odor related to CGMP deficiencies.,,,"a) D167C, exp 2/18, E135C, exp 3/18;  b) D172C, exp 2/18;   c) D167C, exp 2/18, E135C, exp 3/18",20180422,Nationwide.,NY,"Ibuprofen Tablets, USP, 200 mg, a) 50 tablet (NDC 53943-291-15), b) 100 tablet (NDC 53943-291-12), c) 500 tablet (NDC 53943-291-14), Brown, Distributed by Drug Mart, Food Fair, Medina, Ohio 44256",20180502,Class II,"Time-Cap Laboratories, Inc.",D-0686-2018,Letter,Drugs,79349,20210120,20180111,11735-3921,Voluntary: Firm initiated,Terminated,
United States,Brookhaven,50 Horseblock Rd,Subpotent Drug: Out-of-specification assay result was obtained for Fluocinolone Acetonide.,,"7,766 bottles","Lot #: 07040001A, exp. date 02/2022",20211116,Product was distributed nationwide within the United States,NY,"Flocinolone Acetonide 0.01% Topical Oil, Body Oil, Rx, packaged in 4 oz. bottle, Distributed by: Amneal Pharmaceuticals Bridgewater, NJ 08807, NDC 65162-704-86",20211124,Class II,"Amneal Pharmaceuticals of New York, LLC",D-0233-2022,Letter,Drugs,88997,,20211104,11719-9509,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 West Lane,Non-Sterility: Customer complaints of mold in the product after use and handling due to the fact that the preservative used in the lots of Carboxymethylcellulose Sodium 0.5% Ophthalmic Solution may not be effective through expiry.,P.O. Box 849,"363,746 bottles.","Lot #: 11440, Exp 09/13, labeled for CVS; 11441, Exp 09/13, labeled for CVS; 12042, Exp 01/14, labeled for CVS and Wal-Mart ; 12103, Exp 02/15, labeled for Wal-Mart; 12203, Exp 05/15, labeled for CVS and Wal-Mart; 12207, Exp 05/15, labeled for Wal-Mart; 12293, Exp 08/15, labeled for Wal-Mart; 12352, Exp 09/15, labeled for CVS and Target; and 12356, Exp 09/15, labeled for CVS and Target.",20131218,Nationwide,NY,"Carboxymethylcellulose Sodium 0.5% Ophthalmic Solution, 1 FL OZ (30 mL) bottle, sold under the following labels: (a) CVS pharmacy brand LUBRICANT EYE DROPS FOR MILD TO MODERATE DRY EYE, Distributed by CVS Pharmacy, Inc., Woonsocket, RI 02895, UPC 0 50428 053357 7 and UPC 0 50428 27364 7; (b) equate brand Lubricant Eye Drops, Distributed by Wal-Mart Stores, Inc., Bentonville, AR 72716, UPC 6 81131 03420 3; and (c) up & up brand lubricant eye drops, Dist. by Target Corporation, Minneapolis, MN 55403, UPC 8 58961 79102 0.",20131225,Class I,"Altaire Pharmaceuticals, Inc.",D-375-2014,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,66217,20140930,20130906,11931-0849,Voluntary: Firm initiated,Terminated,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,81217 units,17209  7/21    18168  7/22    18217  8/22    18260  10/22    19094  4/23,20191115,U.S.A. Nationwide,NY,"OCuSOFT Tears Again Lubricant Eye Drops, Net Wt. 15 mL (0.5 fl oz), Manufactured for OCuSOFT Inc. Rosenberg, TX 77471 USA, NDC 54799-904-15",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0450-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
